load	vo2	co2
79.96666667	1524	1232
78.3	1566	1258
80.83333333	1500	1266
80.66666667	1498	1230
81.6	1489	1282
79.8	1560	1290
79.1	1473	1245
77.53333333	1407	1162
81.96666667	1577	1313
84.83333333	1492	1272
80.03333333	1449	1219
87.56666667	1486	1283
84.66666667	1570	1295
85.7	1494	1218
87.46666667	1631	1332
87.96666667	1513	1232
88.76666667	1637	1306
88.4	1708	1405
88.7	1649	1413
88.1	1612	1397
95.16666667	1598	1365
91	1691	1420
96.4	1680	1455
94.36666667	1761	1539
95.43333333	1595	1334
93.46666667	1657	1444
95.66666667	1662	1440
96.2	1665	1434
97.1	1711	1471
100.0666667	1775	1523
102.2333333	1779	1517
103.5333333	1791	1553
105.9666667	1813	1590
105.3	1687	1417
108.6	1952	1606
105.1	1789	1559
105.9	1777	1526
104.6333333	1945	1632
106.8333333	1835	1584
108.5666667	1908	1663
110.6333333	1762	1495
108.3333333	1917	1641
108.2333333	1783	1519
112.5	1951	1705
108	1782	1557
112.6	1883	1644
111.6333333	1982	1715
114.8	1411	1230
115.8	2214	1884
113.7333333	1855	1576
122.6333333	2039	1724
117.3	1899	1636
121.4666667	1974	1685
118.6	1978	1725
117.5	1842	1620
123.7	2115	1813
120.9	1963	1717
125.9666667	1989	1657
122.0333333	1999	1696
129.3666667	2022	1690
127.6	2120	1814
118.4	2077	1832
128.6666667	2065	1773
129.6	2087	1780
131	2202	1819
128.9333333	2156	1825
128.5	2116	1828
131.3666667	2192	1894
130.2666667	2070	1827
132.7666667	2065	1793
135.6	2081	1800
132.6	2073	1717
130.1333333	2139	1850
138.4333333	2018	1728
138.5	2228	1947
140.4333333	1989	1778
137.4333333	2255	1958
141.5333333	2149	1938
138.9	2185	1921
141.0666667	2037	1832
141.2	2245	1964
142.7333333	2230	1951
149.0666667	2200	1913
148.7	1937	1702
142.7666667	2486	2121
141.6	2046	1752
147.3333333	2394	2019
148.1333333	2296	2024
153.2666667	2213	1943
151.2	2204	1936
151.9	2349	2008
150.1666667	2318	2019
149.3333333	2241	2004
152.1	2337	2012
159.1	2382	2087
160.1	2192	1940
156.4333333	2456	2131
155.5333333	2415	2161
155.3666667	2358	2114
154.9	2284	2040
162.2333333	2289	2044
156.6333333	2286	2034
157.8	2365	2050
161.2	2488	2207
164.3333333	2210	1888
164.2333333	2585	2219
166.2	2394	2109
165.4	2496	2191
164.3333333	2281	2039
166.6666667	2351	2072
161.8333333	2619	2277
169.0666667	2356	2064
172.7	2443	2108
169.8	2497	2179
171.6666667	2401	2067
169.1666667	2457	2178
169.3	2483	2223
179.4333333	2491	2123
169.6	2591	2267
174.5333333	2458	2166
176.2666667	2522	2211
176.8333333	2187	1924
178.5	2914	2499
178.7333333	2575	2242
174.2	2537	2273
179.4	2676	2334
178.7666667	2442	2120
183.6	2660	2339
183.3	2603	2309
184.2333333	2553	2269
179.7	2520	2178
185.7333333	2716	2432
190.8	2509	2269
183.9666667	2789	2431
186.1666667	2582	2337
189.6	2692	2323
196.2333333	2695	2417
189.5666667	2658	2350
187.5	2664	2315
186.4	2817	2471
193.3333333	2744	2433
193.6333333	2622	2402
197.4	2870	2565
192.5666667	2642	2408
196.4666667	2617	2226
193.7666667	2921	2578
199.9333333	2696	2420
199.8	2785	2497
201.2333333	2779	2460
201.7666667	2866	2564
202.5	2794	2535
199.5666667	2788	2472
201.9333333	2641	2326
213.3	3207	2863
206.8	2801	2502
199.8333333	2872	2516
203.8	2954	2629
202.5666667	2971	2703
205.3333333	2959	2690
211.4666667	2946	2635
207.2333333	2859	2638
213.6	2941	2645
216.2666667	2892	2555
205.8333333	2952	2617
207.8	3002	2744
219.6333333	2908	2657
211.1333333	3057	2688
214.8	3006	2726
220.2	3046	2755
215.5	3073	2832
217.5333333	3016	2735
219.6666667	3036	2704
219.1333333	3014	2719
225.9333333	3119	2837
215.4	2903	2654
223.2666667	3098	2773
219.9666667	3088	2735
226.2333333	3192	2938
220.6	3044	2767
225.5333333	3150	2803
225	3018	2696
222.2333333	3180	2884
234.5	3154	2897
235.9	3053	2735
235.1666667	3151	2793
230.3666667	3299	2958
228.5	3237	3003
232.0666667	3271	3087
232.6666667	3264	3022
242.5666667	3270	3049
232.0666667	3308	3051
235.1	3348	3145
234.0333333	3213	2938
237.8	3385	3151
238.9333333	3351	3184
238.3666667	3337	3053
241.4333333	3427	3210
242.4666667	3210	2987
245.1333333	3394	3099
242.1	3353	3043
236.8	3479	3181
244.6	3418	3203
244.8333333	3066	2854
248.2	3677	3404
245.1333333	3548	3433
240.3333333	3409	3279
249.8666667	3480	3303
255.3333333	3401	3176
246.8	3459	3248
249.0333333	3544	3338
253.7333333	3385	3236
249.7	3629	3352
250.4	3555	3441
254.9	3576	3414
256.0666667	3659	3564
257.7666667	3420	3311
253.6666667	3571	3335
251.4333333	3619	3361
261.7	3691	3563
252.3	3522	3339
260.7666667	3491	3440
258.1	3782	3488
258.1666667	3700	3608
262.6333333	3445	3194
263.9	3842	3653
264.9	3688	3651
261.5	3762	3640
267.2666667	3788	3677
263.9333333	3757	3670
266.9333333	3764	3659
264.0666667	3838	3810
272.0666667	3774	3698
269.2333333	3739	3678
264.6333333	3881	3717
267.2333333	3767	3640
263	3735	3586
